email,label
Evite el bloqueo de su cuenta. Confirme sus datos. [imagen adjunta].,1
Resumo de conta do banco (documento PDF).!,0
Payment failed. Update card details now. https://secure-update.example...,1
¡Felicidades! Ha ganado un iPhone. Reclámelo ahora. http://go.example.com/login [imagen adjunta]!,1
"Order shipped, arriving soon.!",0
Entrega de entradas para el concierto del sábado. [imagen adjunta],0
Payment failed. Update card details now. https://bit.ly/verify,1
Recordatorio: cita médica el lunes a las 10:00. [doc adjunto]!,0
Atualize sua senha imediatamente. http://tiny.url/pago.,1
Su contraseña ha expirado. Actualícela en este enlace. http://short.link/seguro [imagen adjunta]...,1
Acceda urgentemente a su servicio bancario aquí. http://short.link/seguro!!,1
Reciba su reembolso haciendo clic en este enlace. https://bit.ly/verify,1
University newsletter: research highlights. https://portal.empresa.example .,0
Meeting agenda attached. [imagen adjunta].,0
Notas de clase y material didáctico.!,0
Sua encomenda foi enviada e chega amanhã....,0
Tu pedido ha sido envviado y llegará en 2 días. [imagen adjunta].,0
"ORDER SHIPPED, ARRIVING SOON. [CAPTURA DE PANTALLA]!",0
Evite el bloqueo de su cuenta. Confirme sus datos. http://tiny.url/pago.,1
Atualize sua senha imediatamente. https://secure-update.example!,1
Tu pedido ha sido enviado y llegará en 2 días.!,0
Atualize sua senha imediatamente. https://bit.ly/verify [imagen adjunta]!,1
NEWSLETTER DEL AYUNTAMIENTO: ACTIVIDADES CULTURALES. [IMAGEN ADJUNTA].,0
Confirmación de asistencia a la meeting del miércoles..,0
Detectamos actividad sospechosa. Verifique su identidad. https://bit.ly/veriify.,1
Sua encomenda foi enviada e chega amanhã. [doc adjunto].,0
detectamos actividad sospechosa. verifique su identidad. https://bit.ly/verify...,1
RECORDATORIO: CITA MÉDICA EL LUNES A LAS 10:00.!!,0
Tax refund available. Claim your money now....,1
Aviso de mantenimiento programado en el sistema.!,0
Boletín trimestral de la universidad. [doc adjunto]!!,0
Atualize sua senha imediatamente. [doc adjunto].,1
DETECTAMOS ACTIVIDAD SOSPECHOSA. VERIFIQUE SU IDENTIDAD. HTTP://TINY.URL/PAGO ...,1
Actualización de políticas de privacidad de la empressa.,0
Gracias por tu compra. Adjuntamos la factura.!,0
Notas de clase y material didáctico..,0
University newsletter: research highlights..,0
Actualización dde políticas de privacidad de la empresa. .,0
Boletín trimestral de la universidad. [doc adjunto]...,0
Información sobre comisiones del banco para estudiantes. https://porrtal.empresa.example...,0
Recordatorio: cita médica el lunes a las 10:00....,0
Tax refund available. claim your money now. .,1
sua encomenda foi enviada e chega amanhã..,0
¡FELICIDADES! HA GANADO UN IPHONE. RECLÁMELO AHORA. [CAPTURA DE PANTALLA]...,1
Resumo de conta do banco (documento PDF).!!,0
Felicitación navideña del departamento..,0
Tu pedido ha sido enviado y llegará en 2 días. [captura de pantalla].,0
Notas de clase y material didáctico.!!,0
Verifique sua conta bancária. Clique aqui.!!,1
Resumen de tu banco del mes (solo lectura).,0
YOUR ACCOUNT IS SUSPENDED. CLICK TO RESTORE ACCESS. HTTP://TINY.URL/PAGO.,1
Reciba su reembolso haaciendo clic en este enlace. https://bit.ly/verify!,1
INVITACIÓN A LA CONFERENCIA ANUAL DE TECNOLOGÍA....,0
"Order shipped, arriving soon....",0
aviso de mantenimiento programado en el sistema. https://portal.empresa.example,0
Boletín trimestral de la universidad. ,0
confirmación de asistencia a la reunión del miércoles....,0
university newsletter: rresearch highlights....,0
Sua encomenda foi enviada e chega amanhã. [doc adjunto].,0
Boletín trimestral de la universidad. [doc adjunto]!!,0
boletín trimestral de la universidad..,0
Aviso de mantenimiento programado en el sistema. [captura de pantalla],0
Tu pedido ha sido enviado y llegará en 2 días. https://portal.empresa.example [doc adjunto],0
Su cuenta ha sido suspendida. Ingrese aquí para reactivarla. https://secure-update.example [imagen adjunta]...,1
Aviso de mantenimiento programado en el sistema.!,0
SUA ENCOMENDA FOI ENVIADA E CHEGA AMANNHÃ.,0
Invitación a la conferencia anual de tecnología. ...,0
Acceda urgentemente a su cuenta bancaria aquí. https://secure-update.example!,1
Atualize sua senha imediatamente. http://tiny.url/pago.,1
Sua enccomenda foi enviada e chega amanhã. [doc adjunto]...,0
Entrega de entradas para el concierto del sábado..,0
Actualización de políticas de privacidad de la empresa.!!,0
Agenda de la reunión y documentos adjuntos. [doc adjunto],0
